OBJECTID,AREA,PERIMETER,DAMS500G_,DAMS500G_I,STATION,NAME,X_COORD,Y_COORD,TYPE,ALIAS,FEAT_ID,AREA_KM2,Shape_Length,Shape_Area
1,5.60904155e-05,0.0616832711,2,110097, ,Scroda,29.433691,-22.1913395,RESERVOIR, ,0,5.6090417e-11,0.06168327007215,5.60904111513573e-05
2,4.93340667e-06,0.0106032677,3,110094, ,Lizzulea,29.328949,-22.3440895,RESERVOIR, ,0,4.93340655e-12,0.0106032678682022,4.93340691279904e-06
3,1.81808082e-05,0.0525042862,4,604,A7R001Q01,Dr Neethling,29.8544827,-22.54002,RESERVOIR, ,0,1.81808076e-11,0.0525042855239778,1.81808069641467e-05
4,0.000158509487,0.165149614,5,2,A8R003Q01,Nwanedi,30.4011345,-22.6354198,RESERVOIR,Nwanedzi Luphephe,0,1.58509483e-10,0.165149621683967,0.00015850948811895
5,0.000575302693,0.342698932,6,3,A8R001Q01,Nzhelele,30.0999088,-22.7394009,RESERVOIR, ,0,5.75302694e-10,0.342698921801017,0.000575302705851878
6,7.19506716e-06,0.0108727394,7,0,A8R001Q01,Nzhelele,30.100996,-22.7310905,ISLAND, ,0,7.19506702e-12,0.0108727403804484,7.19506708316855e-06
7,0.000131285196,0.0918233395,8,110117, ,Fundudzi,30.3127308,-22.8490791,NATURAL, ,0,1.31285191e-10,0.0918233422830757,0.00013128519251124
8,0.000133153429,0.0938505903,9,110096,A9R002Q01,Vondo,30.3445969,-22.9475803,RESERVOIR, ,0,1.33153433e-10,0.0938505921576395,0.000133153432990022
9,4.60567317e-05,0.0429524817,10,110012,A8R001Q01,Mutshedzi,30.1744747,-22.9469891,RESERVOIR, ,0,4.60567313e-11,0.0429524835477769,4.60567321632248e-05
10,0.000288141659,0.276902407,11,4,A9R001Q01,Albasini,30.093998,-23.1022606,RESERVOIR, ,0,2.88141649e-10,0.276902403177154,0.000288141663800187
11,7.88557227e-05,0.132468209,12,6,B9H003Q01,Kanniedood,31.4613686,-23.1427498,RESERVOIR, ,0,7.88557206e-11,0.132468209744841,7.88557126126788e-05
12,0.000386406551,0.33700341,13,0,A6R002Q01,Glen Alpine,28.683115,-23.2107105,RESERVOIR, ,0,3.86406546e-10,0.337003396227495,0.000386406544693922
13,0.000457277492,0.22971563,14,7,B8R009Q01,Nsami,30.7640743,-23.2516003,RESERVOIR,Hudson Ntsanwisi,0,4.57277494e-10,0.229715628646076,0.000457277504428111
14,3.46547458e-05,0.0351338014,15,0, ,Rooibosrand,31.1688042,-23.2600098,RESERVOIR, ,0,3.46547444e-11,0.0351338018482616,3.46547478605703e-05
15,0.000439078955,0.275340766,16,589,B8R007Q01,Middle Letaba,30.4029446,-23.27845,RESERVOIR, ,0,4.39078968e-10,0.275340763145279,0.000439078955141219
16,1.89974708e-05,0.0426770486,17,605,A5R002Q01,Susandal,28.023056,-23.3828506,RESERVOIR,Susandale,0,1.89974703e-11,0.042677049181068,1.89974701877573e-05
17,7.72018102e-05,0.107747458,18,0, ,Lornadawn,30.119894,-23.4828701,RESERVOIR, ,0,7.72018074e-11,0.107747456852855,7.72018104940858e-05
18,8.02924478e-06,0.0304815155,19,500,A5R001Q01,Vischgat,28.1626072,-23.6313705,RESERVOIR, ,0,8.0292448e-12,0.0304815163352663,8.02924356486787e-06
19,1.89762559e-05,0.0660175979,20,0,B8H034,Black Heron,31.2104588,-23.6960602,RESERVOIR, ,0,1.89762563e-11,0.0660175937561395,1.89762566291128e-05
20,9.3903509e-07,0.00544823986,21,110044,B8R010Q01,Jasi,30.52668,-23.7291698,RESERVOIR, ,0,9.39035091e-13,0.00544823851809706,9.39035193011891e-07
21,3.26513618e-05,0.0396607034,22,588,B8R002Q01,Hans Merensky,30.105032,-23.7480202,RESERVOIR, ,0,3.26513608e-11,0.0396606996106677,3.26513615294216e-05
22,0.00167893094,0.894274473,23,11,B8R005Q01,Tzaneen,30.1501961,-23.7876606,RESERVOIR, ,0,1.67893099e-09,0.894274477454832,0.00167893091115318
23,6.30873037e-05,0.0579889454,24,110107, ,Hout River,29.228756,-23.7740803,RESERVOIR,Hout River,0,6.30873062e-11,0.0579889462666099,6.30873054964311e-05
24,5.35870895e-05,0.0602577142,25,587,B8R003Q01,Magoebaskloof,30.0522556,-23.8166294,RESERVOIR, ,0,5.35870896e-11,0.0602577133456885,5.35870900426954e-05
25,0.00915893167,1.53859925,26,501, ,Massingir,32.0152702,-23.8775101,RESERVOIR, ,0,9.15893139e-09,1.53859927134914,0.00915893198032656
26,3.12935008e-05,0.0407504402,27,110103, ,Cramer,30.3108063,-23.8631706,RESERVOIR, ,0,3.12935025e-11,0.0407504415683723,3.12934998487733e-05
27,2.43286195e-05,0.0218129288,28,0, ,Turfloop,29.7734852,-23.8842392,RESERVOIR, ,0,2.4328619e-11,0.0218129284745353,2.43286209565592e-05
28,0.000175930996,0.216616496,29,0,B8R001Q01,Ebenezer,29.982666,-23.9352303,RESERVOIR, ,0,1.75930992e-10,0.216616493084885,0.000175930991510937
29,1.46953971e-06,0.0066749407,30,0, ,Massingir,31.9023342,-23.9434395,ISLAND, ,0,1.46953966e-12,0.00667494149900863,1.46953969379049e-06
30,0.000733605179,0.396672219,31,13,A4R001Q01,Mokolo,27.7685947,-23.9902401,RESERVOIR,Hans Strijdom,0,7.33605177e-10,0.396672219317532,0.000733605176248808
31,0.00019113718,0.0731799901,32,0, ,Palabora,31.1678238,-24.0096607,RESERVOIR, ,0,1.91137176e-10,0.073179991655192,0.000191137178459542
32,0.00010384107,0.179098576,33,110086,B7R002Q01,Phalaborwa Barrage,31.1359158,-24.0726795,RESERVOIR, ,0,1.03841068e-10,0.179098568905968,0.000103841074970922
33,8.00743874e-06,0.0210754182,34,0,A6R004Q01,Gert Combrink,29.0320969,-24.1630898,RESERVOIR, ,0,8.00743846e-12,0.0210754172132262,8.00743955698366e-06
34,5.89135925e-05,0.0539010316,35,3496,A2R004Q01,Chuniespoort,29.4940777,-24.2025394,RESERVOIR,Ga-Tshwene,0,5.89135893e-11,0.0539010319655412,5.89135922941477e-05
35,2.13173716e-05,0.0335368626,36,110102, ,Mogoto,29.2220497,-24.2684307,RESERVOIR, ,0,2.13173715e-11,0.033536861723038,2.13173713916098e-05
