Latitude,Longitude,Sample Date,distance_to_dam_km,dam_count_within_5km,dam_area_sum_within_5km,dam_count_within_10km,dam_area_sum_within_10km,dam_count_within_25km,dam_area_sum_within_25km,sample_elevation,position_relative_to_dam,TYPE,AREA,PERIMETER,AREA_KM2,Shape_Length,Shape_Area,area_perimeter_ratio,compactness,log1p_area,log1p_perimeter,shape_factor,season,evap_proxy
-28.760833,17.730278,02-01-2011,211.3064216,0,0,0,0,0,0,166,downstream,RESERVOIR,1.70E-05,0.025746167,1.70E-11,0.025746165,1.70E-05,0.000658383,0.321348218,1.70E-05,0.025420314,6.253411155,1,2.54E-11
-26.861111,28.884722,03-01-2011,34.55940764,0,0,0,0,0,0,1526,downstream,RESERVOIR,0.000527069,0.114202097,5.27E-10,0.1142021,0.000527069,0.004615234,0.507843073,0.000526931,0.108138543,4.974393826,1,7.91E-10
-26.45,28.085833,03-01-2011,25.25862729,0,0,0,0,0,0,1475,downstream,RESERVOIR,8.53E-06,0.011252279,8.53E-12,0.011252278,8.53E-06,0.000758416,0.846987559,8.53E-06,0.011189442,3.851823837,1,1.28E-11
-27.671111,27.236944,03-01-2011,5.66557217,0,0,2,0.000321674,2,0.000321674,1345,downstream,RESERVOIR,0.000222227,0.085176773,2.22E-10,0.085176772,0.000222227,0.002609004,0.384913794,0.000222202,0.081742898,5.713775787,1,3.33E-10
-27.356667,27.286389,03-01-2011,27.78101965,0,0,0,0,0,0,1360,downstream,RESERVOIR,7.32E-05,0.047322422,7.32E-11,0.047322423,7.32E-05,0.001547584,0.410957767,7.32E-05,0.046236834,5.529760674,1,1.10E-10
-27.01011111,26.69808333,04-01-2011,24.88484155,0,0,0,0,1,0.000265164,1291,downstream,RESERVOIR,0.000265164,0.162562072,2.65E-10,0.162562074,0.000265164,0.001631153,0.126091333,0.000265128,0.150626254,9.983028588,1,3.98E-10
-25.127778,27.628889,04-01-2011,19.69636163,0,0,0,0,1,0.001261172,957,downstream,RESERVOIR,0.001261172,0.359773606,1.26E-09,0.359773612,0.001261172,0.00350546,0.122440633,0.001260377,0.307318224,10.13076284,1,1.89E-09
-25.20639,27.558,04-01-2011,14.61042115,0,0,0,0,5,0.001872681,957,downstream,ISLAND,1.72E-06,0.005231775,1.72E-12,0.005231775,1.72E-06,0.00032842,0.788841635,1.72E-06,0.005218137,3.991259999,1,2.58E-12
-24.69514,27.40906,04-01-2011,37.0174051,0,0,0,0,0,0,912,downstream,RESERVOIR,0.000114786,0.062188707,1.15E-10,0.062188704,0.000114786,0.001845774,0.37297248,0.00011478,0.060331595,5.804523016,1,1.72E-10
-26.98472222,26.63227778,04-01-2011,20.46689481,0,0,0,0,1,0.000265164,1289,downstream,RESERVOIR,0.000265164,0.162562072,2.65E-10,0.162562074,0.000265164,0.001631153,0.126091333,0.000265128,0.150626254,9.983028588,1,3.98E-10
