Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,aod550,duaod550,ssaod550,suaod550,bcaod550,omaod550,tcno2,tcso2,gtco3,tcco,aod550_lag1,duaod550_lag1,ssaod550_lag1,suaod550_lag1,bcaod550_lag1,omaod550_lag1,tcno2_lag1,tcso2_lag1,gtco3_lag1,tcco_lag1,aod550_anom,duaod550_anom,ssaod550_anom,suaod550_anom,bcaod550_anom,omaod550_anom,tcno2_anom,tcso2_anom,gtco3_anom,tcco_anom
-28.760833,17.730278,128.912,555,10,0.08984013,0.009363764,0.002821438,0.04461483,0.002529986,0.030510113,1.3705842e-06,4.0697648e-07,0.00573929,0.000649793,,,,,,,,,,,0.013330877,-0.004031976,-4.26E-05,0.014344582,-0.000113109,0.003174048,3.179798e-08,9.246861e-09,8.7050255e-05,-2.29E-05
-26.861111,28.884722,74.72,162.9,163,0.2852231,0.000866891,0.001668324,0.2003693,0.00505287,0.077265695,8.731832e-06,1.7010047e-05,0.005649519,0.000673709,,,,,,,,,,,0.080216736,-0.00042174,-0.000267664,0.054800868,0.001235808,0.024869476,1.058288e-08,-1.08E-06,2.0381529e-05,4.5719673e-05
-26.45,28.085833,89.254,573,80,0.3471982,0.000674275,0.001783364,0.198522,0.00959054,0.13662796,7.07481e-06,1.2932972e-05,0.005663442,0.000755443,0.2603244,0.000585039,0.004341661,0.16467392,0.006424677,0.08429908,7.0754004e-06,1.136418e-05,0.005788041,0.000642635,0.105309516,-0.000704379,0.000188159,0.06672838,0.00286352,0.036233805,-5.15E-08,2.9813145e-07,3.2003038e-05,4.7294598e-05
-27.671111,27.236944,82,203.6,101,0.21865857,0.001249031,0.001360633,0.13910693,0.004837395,0.07210472,3.7415139e-06,5.735409e-06,0.005661033,0.000694593,0.14698794,0.000924406,0.002580891,0.08979996,0.003461542,0.050221145,3.5083958e-06,4.6338428e-06,0.005802577,0.000623044,0.09358077,-0.001140825,0.000110813,0.06411509,0.001864909,0.028630894,1.31045e-07,6.254245e-07,2.700137e-05,5.848211e-05
-27.356667,27.286389,56.1,145.1,151,0.21865857,0.001249031,0.001360633,0.13910693,0.004837395,0.07210472,3.7415139e-06,5.735409e-06,0.005661033,0.000694593,,,,,,,,,,,0.046179667,-0.000287833,-0.0002701,0.034140646,0.000856795,0.011740357,-5.67E-09,9.2593837e-07,2.2120308e-05,2.9161922e-05
-27.01011111,26.69808333,82.2,289.8,192,0.102029085,0.001684721,0.00263578,0.052565936,0.002581373,0.042561352,3.952459e-06,5.0214326e-06,0.005536033,0.000575306,0.22740117,0.000839134,0.001466748,0.13981926,0.005356059,0.07992007,4.459628e-06,7.001793e-06,0.005664396,0.000713021,0.02196908,-0.000600805,0.001031059,0.012397114,0.000252914,0.008888908,-4.11E-08,-7.67E-07,-1.54E-05,1.1369004e-05
-25.127778,27.628889,125,438,163,0.17191318,0.001251466,0.003989226,0.082660034,0.004780147,0.07923232,4.5726697e-06,5.746367e-06,0.005526948,0.000671625,0.2934946,0.000775483,0.003213227,0.1864365,0.007196734,0.09587263,4.618777e-06,8.11699e-06,0.005821279,0.000659106,0.026925147,-9.07E-05,0.001239203,0.016198017,0.00015407,0.009424523,-1.57E-07,-1.66E-06,-4.51E-05,3.5887933e-06
-25.20639,27.558,116.62,568,69,0.17191318,0.001251466,0.003989226,0.082660034,0.004780147,0.07923232,4.5726697e-06,5.746367e-06,0.005526948,0.000671625,0.2934946,0.000775483,0.003213227,0.1864365,0.007196734,0.09587263,4.618777e-06,8.11699e-06,0.005821279,0.000659106,0.027918473,-0.000172193,0.001573942,0.018340431,-4.83E-05,0.008224502,-5.09E-07,-2.39E-06,-3.06E-05,-5.31E-06
-24.69514,27.40906,181.831,583,158,0.14531565,0.001196188,0.004884041,0.08194837,0.003358078,0.053928986,3.5900289e-06,4.7341523e-06,0.005523648,0.000645351,0.24837856,0.00092692,0.004880749,0.15816,0.005931896,0.07847892,3.0762324e-06,5.141948e-06,0.005813004,0.000630193,0.030253805,-3.67E-05,0.00191683,0.019640666,3.0555995e-05,0.008702531,-1.88E-07,-2.01E-06,-3.35E-05,3.5632402e-06
-26.98472222,26.63227778,196,452,158,0.102029085,0.001684721,0.00263578,0.052565936,0.002581373,0.042561352,3.952459e-06,5.0214326e-06,0.005536033,0.000575306,,,,,,,,,,,0.020138606,-0.000419896,0.001043133,0.010756385,0.000237663,0.008521408,-2.31E-07,-1.21E-06,-1.39E-05,1.463166e-05
-28.141944,26.417778,94.718,227.9,132,0.080353856,0.002625489,0.002490676,0.043075655,0.001903463,0.030258633,2.656187e-06,2.8466836e-06,0.00556092,0.000533495,,,,,,,,,,,0.013282567,-0.00018208,0.000606221,0.006463759,0.000178214,0.006216498,-8.70E-08,-1.02E-06,-1.06E-05,1.1182972e-05
-27.398611,26.614722,86.8,226.3,114,0.09244521,0.001952929,0.002570051,0.04963063,0.002267307,0.036024332,3.3537212e-06,3.920631e-06,0.005549227,0.000552784,0.21865857,0.001249031,0.001360633,0.13910693,0.004837395,0.07210472,3.7415139e-06,5.735409e-06,0.005661033,0.000694593,0.02161523,-0.000506979,0.000939212,0.012211509,0.00029281,0.008678665,-1.62E-07,-9.72E-07,-9.98E-06,1.222163e-05
-33.501667,21.624167,201,769,74,0.049834535,0.001489806,0.01872186,0.011779089,0.001465599,0.016378142,1.5349984e-06,7.429605e-07,0.005679691,0.000496823,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
-32.502778,19.535833,10.387,73,10,0.040257767,0.00383575,0.009227577,0.010316599,0.001450157,0.015427746,1.5032789e-06,6.8978596e-07,0.005633211,0.00049851,,,,,,,,,,,-0.00377788,-0.000840596,-0.00036427,-0.000576012,-0.000361864,-0.001635125,4.7850904e-08,3.8517953e-08,-2.95E-05,-3.51E-06
-25.45963889,28.26430556,108.94,396,82,0.20286357,0.001115947,0.004384211,0.09584066,0.005726469,0.09579622,5.2523314e-06,6.483085e-06,0.005526859,0.000687128,0.24209988,0.000649345,0.002011523,0.12514275,0.00746208,0.10683432,4.6562427e-06,6.7370884e-06,0.005672404,0.000751295,0.039413825,-4.41E-05,0.001721401,0.024043903,0.000472718,0.013219759,-2.18E-07,-1.79E-06,-4.01E-05,1.5297614e-05
-27.495556,26.074722,67.8,218.6,91,0.08231066,0.002226127,0.002427086,0.045377973,0.001951747,0.030327536,3.1415998e-06,3.780853e-06,0.005550949,0.000549042,0.20554355,0.001395703,0.001370226,0.13383517,0.004352352,0.0645901,3.1194322e-06,5.073508e-06,0.005658674,0.000689304,0.009515218,-0.000234297,0.000660745,0.004365899,9.742833e-05,0.00462535,-1.16E-07,-1.20E-06,-1.89E-05,1.1138443e-05
-26.648056,27.089444,211,532,62,0.058896154,0.002012087,0.002545998,0.024135452,0.00191143,0.028291155,3.0652209e-06,3.3048934e-06,0.005533367,0.000515454,0.20180248,0.000807782,0.001532056,0.13900122,0.003874117,0.056587152,4.5862325e-06,8.001595e-06,0.005799027,0.00062511,-0.013261274,-0.000194956,0.000501993,-0.004122326,-0.001158453,-0.008287594,-4.37E-07,-2.03E-06,7.446762e-05,-6.24E-05
-26.970278,27.211111,71.5,248.4,117,0.058896154,0.002012087,0.002545998,0.024135452,0.00191143,0.028291155,3.0652209e-06,3.3048934e-06,0.005533367,0.000515454,0.22740117,0.000839134,0.001466748,0.13981926,0.005356059,0.07992007,4.459628e-06,7.001793e-06,0.005664396,0.000713021,-0.013261274,-0.000194956,0.000501993,-0.004122326,-0.001158453,-0.008287594,-4.37E-07,-2.03E-06,7.446762e-05,-6.24E-05
-27.38972222,26.46388889,82.14,255.5,74,0.056899026,0.003007978,0.003278539,0.027697224,0.001565622,0.021349583,2.7390388e-06,3.251024e-06,0.005548979,0.000492149,0.13118681,0.000980233,0.002331677,0.08009372,0.003018689,0.044762634,3.2211228e-06,4.2825395e-06,0.005799805,0.00062819,0,0,0,0,0,0,0,0,0,0
-27.044444,27.005,83,220.9,85,0.058896154,0.002012087,0.002545998,0.024135452,0.00191143,0.028291155,3.0652209e-06,3.3048934e-06,0.005533367,0.000515454,0.17548272,0.00077754,0.003026797,0.10973614,0.00408033,0.05786191,4.6444293e-06,6.736238e-06,0.005804797,0.000633718,-0.005012602,0.000307297,0.000145319,-0.001951773,-0.000384639,-0.003128856,-1.47E-07,-6.66E-07,0.000100945,-2.22E-05
-30.830556,26.921389,62.099,145,10,0.054177802,0.002908948,0.007123817,0.022979025,0.002002081,0.019164,6.064692e-06,8.58808e-06,0.005837717,0.000478768,0.061276212,0.004154794,0.005766247,0.030665148,0.001318383,0.019371632,5.113822e-06,7.691929e-06,0.005632117,0.000438234,-0.01085848,-0.000351587,0.001509674,-0.006000835,-0.000654754,-0.005360885,-9.15E-08,-8.01E-07,0.00010789,-2.69E-05
-27.00222,28.76528,34.855,114.5,150,0.06789215,0.001155752,0.002394292,0.019408979,0.004124795,0.040808354,6.2491085e-06,7.628762e-06,0.005652529,0.000585134,0.09800404,0.001382478,0.002094508,0.041488353,0.003288459,0.049750123,5.392393e-06,7.5592643e-06,0.00553124,0.000548362,-0.015556738,-3.57E-05,0.000419,-0.006822487,-0.000738303,-0.008379258,-1.31E-06,-2.32E-06,0.000263267,-3.66E-05
-27.02314,28.59389,41.408,148.8,152,0.06789215,0.001155752,0.002394292,0.019408979,0.004124795,0.040808354,6.2491085e-06,7.628762e-06,0.005652529,0.000585134,0.09800404,0.001382478,0.002094508,0.041488353,0.003288459,0.049750123,5.392393e-06,7.5592643e-06,0.00553124,0.000548362,-0.021373987,-1.82E-05,0.000366202,-0.009531487,-0.001047821,-0.011142641,-1.22E-06,-2.41E-06,0.000139734,-3.23E-05
-30.679722,26.7125,55.297,138.3,44,0.054177802,0.002908948,0.007123817,0.022979025,0.002002081,0.019164,6.064692e-06,8.58808e-06,0.005837717,0.000478768,0.084595144,0.003044297,0.002821225,0.054960016,0.001404493,0.022365227,5.0506364e-06,8.058874e-06,0.005585962,0.0004637,-0.01085848,-0.000351587,0.001509674,-0.006000835,-0.000654754,-0.005360885,-9.15E-08,-8.01E-07,0.00010789,-2.69E-05
