Latitude,Longitude,Sample Date,nir,green,swir16,swir22
-28.760833,17.730278,02-01-2011,11190.0,11426.0,7687.5,7645.0
-26.861111,28.884722,03-01-2011,17658.5,9550.0,13746.5,10574.0
-26.45,28.085833,03-01-2011,15210.0,10720.0,17974.0,14201.0
-27.671111,27.236944,03-01-2011,14887.0,10943.0,13522.0,11403.0
-27.356667,27.286389,03-01-2011,16828.5,9502.5,12665.5,9643.0
-27.01011111,26.69808333,04-01-2011,12433.5,10433.5,9579.5,8531.5
-25.127778,27.628889,04-01-2011,7814.0,5189.5,6664.0,5222.0
-25.20639,27.558,04-01-2011,14137.5,10466.5,10315.5,8536.0
-24.69514,27.40906,04-01-2011,15543.0,10647.0,11919.5,9642.5
-26.98472222,26.63227778,04-01-2011,13683.0,10207.0,14011.5,11850.5
-28.141944,26.417778,04-01-2011,14391.0,9840.0,13799.5,11265.0
-27.398611,26.614722,04-01-2011,15515.5,10247.0,12823.0,10403.5
-33.501667,21.624167,04-01-2011,,,,
-32.502778,19.535833,04-01-2011,17653.0,13104.0,19330.0,16984.0
-25.45963889,28.26430556,04-01-2011,13959.0,9926.0,15156.5,12552.5
-27.495556,26.074722,04-01-2011,17937.5,11044.5,18143.5,14152.5
-26.648056,27.089444,05-01-2011,19310.5,9597.0,12954.5,9447.5
-26.970278,27.211111,05-01-2011,10218.0,11040.0,7946.5,7735.0
-27.38972222,26.46388889,05-01-2011,11481.0,11597.0,8583.0,8196.5
-27.044444,27.005,05-01-2011,17418.5,9908.0,13987.0,10115.0
-30.830556,26.921389,06-01-2011,5266.5,4491.0,3672.5,3764.5
-27.00222,28.76528,06-01-2011,13724.0,9691.0,13005.5,10754.5
-27.02314,28.59389,06-01-2011,11490.5,9969.5,10372.5,9135.0
-30.679722,26.7125,06-01-2011,13400.0,10548.0,7764.0,7659.0
-30.160091,27.40124,06-01-2011,14158.0,10060.0,12037.5,10023.5
-32.595833,19.009444,06-01-2011,15218.5,10334.0,14735.0,12208.5
-25.99136,27.84208,10-01-2011,18631.5,11771.5,16495.0,12815.0
-26.73806,27.59194,10-01-2011,9089.5,9167.0,7963.0,7740.0
-26.45,28.085833,10-01-2011,15210.0,10720.0,17974.0,14201.0
-30.86013889,29.07125,10-01-2011,14558.0,10724.5,11450.0,10000.5
-27.356667,27.286389,10-01-2011,16828.5,9502.5,12665.5,9643.0
-27.01011111,26.69808333,11-01-2011,12433.5,10433.5,9579.5,8531.5
-25.73411,27.21422,11-01-2011,21914.0,17765.0,22170.5,17965.5
-26.98472222,26.63227778,11-01-2011,13683.0,10207.0,14011.5,11850.5
-27.398611,26.614722,11-01-2011,15515.5,10247.0,12823.0,10403.5
-27.671111,27.236944,11-01-2011,14887.0,10943.0,13522.0,11403.0
-29.160278,26.573333,11-01-2011,,,,
-34.250556,20.9925,11-01-2011,12323.0,9019.0,13161.0,10800.5
-25.45963889,28.26430556,11-01-2011,13959.0,9926.0,15156.5,12552.5
-25.81048333,27.90955222,12-01-2011,16870.5,9753.0,13408.0,10257.0
-27.273889,28.49,12-01-2011,12333.0,9060.0,9264.5,8181.0
-27.4275,28.525833,12-01-2011,16767.0,10794.0,18026.5,15340.5
-28.883333,27.89,12-01-2011,14007.5,9248.0,12553.5,9979.0
-27.00222,28.76528,13-01-2011,13724.0,9691.0,13005.5,10754.5
-27.02314,28.59389,13-01-2011,11490.5,9969.5,10372.5,9135.0
-30.534167,24.961944,13-01-2011,15132.5,10835.0,13586.0,11169.0
-28.460833,21.248889,13-01-2011,14599.0,12046.5,12067.0,11038.5
-29.658056,25.973333,14-01-2011,14001.0,10765.0,12520.0,10583.0
-28.760833,17.730278,16-01-2011,11190.0,11426.0,7687.5,7645.0
-25.513889,31.224444,17-01-2011,14776.0,9116.5,12424.0,9895.0
-26.861111,28.884722,17-01-2011,17658.5,9550.0,13746.5,10574.0
-31.554722,29.245556,17-01-2011,19619.0,9449.0,13890.0,10042.0
-28.058889,30.373611,17-01-2011,14514.0,9326.0,12189.5,9706.0
-25.127778,27.628889,18-01-2011,7814.0,5189.5,6664.0,5222.0
-25.20639,27.558,18-01-2011,14137.5,10466.5,10315.5,8536.0
-24.69514,27.40906,18-01-2011,15543.0,10647.0,11919.5,9642.5
-25.681111,31.783333,18-01-2011,13298.5,10809.0,10191.0,9261.0
-27.802778,28.768333,18-01-2011,12128.5,9803.5,9325.0,8486.0
-27.398611,26.614722,18-01-2011,15515.5,10247.0,12823.0,10403.5
-31.104278,29.399722,18-01-2011,,,,
-31.396,29.2651,18-01-2011,12488.0,11835.5,8894.0,8335.0
-33.38056,19.30167,18-01-2011,15820.0,10665.5,16377.5,13975.0
-33.31388889,19.07472222,18-01-2011,13162.5,9546.5,12786.0,10889.0
-27.495556,26.074722,18-01-2011,17937.5,11044.5,18143.5,14152.5
-24.39619444,27.08983333,19-01-2011,,,,
-26.970278,27.211111,19-01-2011,10218.0,11040.0,7946.5,7735.0
-26.880278,26.965,19-01-2011,14265.0,9582.5,14182.0,11071.5
-27.273889,28.49,19-01-2011,12333.0,9060.0,9264.5,8181.0
-27.3,28.586944,19-01-2011,14954.0,9636.0,14753.0,11537.5
-27.044444,27.005,19-01-2011,17418.5,9908.0,13987.0,10115.0
-30.568333,29.422778,19-01-2011,16880.0,9196.5,12987.5,10366.5
-30.570833,29.150556,19-01-2011,,,,
-34.031944,22.053333,19-01-2011,9058.0,7859.0,8310.0,7822.0
-33.13083,18.86278,19-01-2011,15187.0,11456.5,14527.0,12799.0
-33.7075,18.97444444,19-01-2011,14270.0,9913.0,13652.0,11469.5
-25.57877778,29.12747222,19-01-2011,13560.0,10076.0,16388.0,13014.0
-26.006389,29.253889,20-01-2011,,,,
-27.02314,28.59389,20-01-2011,11490.5,9969.5,10372.5,9135.0
-30.679722,26.7125,20-01-2011,13400.0,10548.0,7764.0,7659.0
-28.460833,21.248889,20-01-2011,14599.0,12046.5,12067.0,11038.5
-30.77586667,29.03221667,20-01-2011,,,,
-24.925278,29.324444,21-01-2011,13185.0,9112.0,13904.5,11277.0
-28.460833,21.248889,21-01-2011,14599.0,12046.5,12067.0,11038.5
-24.679167,30.8025,24-01-2011,12245.0,9505.5,14908.5,13718.0
-25.99136,27.84208,24-01-2011,18631.5,11771.5,16495.0,12815.0
-25.49037,30.6986,24-01-2011,10676.0,8325.0,8915.5,8274.0
-26.970278,27.211111,24-01-2011,10218.0,11040.0,7946.5,7735.0
-27.671111,27.236944,24-01-2011,14887.0,10943.0,13522.0,11403.0
-27.356667,27.286389,24-01-2011,16828.5,9502.5,12665.5,9643.0
-27.01011111,26.69808333,25-01-2011,12433.5,10433.5,9579.5,8531.5
-26.98472222,26.63227778,25-01-2011,13683.0,10207.0,14011.5,11850.5
-27.398611,26.614722,25-01-2011,15515.5,10247.0,12823.0,10403.5
-33.818056,19.694722,25-01-2011,,,,
-25.45963889,28.26430556,25-01-2011,13959.0,9926.0,15156.5,12552.5
-33.897778,20.012778,25-01-2011,13871.0,9154.0,11520.0,9420.0
-25.81048333,27.90955222,26-01-2011,16870.5,9753.0,13408.0,10257.0
-34.065833,20.404167,26-01-2011,13535.0,8387.0,10165.0,8604.0
-24.058889,31.237222,26-01-2011,14757.5,9468.5,13111.5,10821.0
-26.648056,27.089444,26-01-2011,19310.5,9597.0,12954.5,9447.5
-26.880278,26.965,26-01-2011,14265.0,9582.5,14182.0,11071.5
-27.273889,28.49,26-01-2011,12333.0,9060.0,9264.5,8181.0
-27.044444,27.005,26-01-2011,17418.5,9908.0,13987.0,10115.0
-34.092222,21.295278,26-01-2011,14913.0,9525.0,13943.0,11317.0
-27.02314,28.59389,27-01-2011,11490.5,9969.5,10372.5,9135.0
-26.73806,27.59194,27-01-2011,9089.5,9167.0,7963.0,7740.0
-28.760833,17.730278,30-01-2011,11190.0,11426.0,7687.5,7645.0
-26.861111,28.884722,31-01-2011,17658.5,9550.0,13746.5,10574.0
-26.73806,27.59194,31-01-2011,9089.5,9167.0,7963.0,7740.0
-25.127778,27.628889,01-02-2011,7814.0,5189.5,6664.0,5222.0
-24.69514,27.40906,01-02-2011,15543.0,10647.0,11919.5,9642.5
-27.363611,31.783333,01-02-2011,17894.5,9281.0,13078.0,9695.0
-27.802778,28.768333,01-02-2011,12128.5,9803.5,9325.0,8486.0
-29.160278,26.573333,01-02-2011,,,,
-34.329722,18.990278,01-02-2011,10864.0,8959.0,12654.0,11808.5
-25.20639,27.558,02-02-2011,14137.5,10466.5,10315.5,8536.0
-23.281,30.54305556,03-02-2011,17210.0,11879.5,18270.5,15619.5
-28.801278,31.955389,03-02-2011,16685.5,9427.0,12127.0,9348.0
-27.00222,28.76528,03-02-2011,13724.0,9691.0,13005.5,10754.5
-27.02314,28.59389,03-02-2011,11490.5,9969.5,10372.5,9135.0
-27.3,28.586944,03-02-2011,14954.0,9636.0,14753.0,11537.5
-30.679722,26.7125,03-02-2011,13400.0,10548.0,7764.0,7659.0
-28.460833,21.248889,03-02-2011,14599.0,12046.5,12067.0,11038.5
-28.460833,21.248889,04-02-2011,14599.0,12046.5,12067.0,11038.5
-29.140556,31.391944,07-02-2011,13930.0,11594.0,8610.0,8471.0
-25.99136,27.84208,07-02-2011,18631.5,11771.5,16495.0,12815.0
-24.058889,31.237222,07-02-2011,14757.5,9468.5,13111.5,10821.0
-26.73806,27.59194,07-02-2011,9089.5,9167.0,7963.0,7740.0
-30.86013889,29.07125,07-02-2011,14558.0,10724.5,11450.0,10000.5
-27.356667,27.286389,07-02-2011,16828.5,9502.5,12665.5,9643.0
-28.058889,30.373611,07-02-2011,14514.0,9326.0,12189.5,9706.0
-27.01011111,26.69808333,08-02-2011,12433.5,10433.5,9579.5,8531.5
-27.169444,29.233889,08-02-2011,6219.0,4774.0,5600.5,4803.0
-26.98472222,26.63227778,08-02-2011,13683.0,10207.0,14011.5,11850.5
-27.398611,26.614722,08-02-2011,15515.5,10247.0,12823.0,10403.5
-27.573056,24.746389,08-02-2011,17012.5,9767.5,12108.0,9335.0
-33.501667,21.624167,08-02-2011,,,,
-32.502778,19.535833,08-02-2011,17653.0,13104.0,19330.0,16984.0
-25.45963889,28.26430556,08-02-2011,13959.0,9926.0,15156.5,12552.5
-26.970278,27.211111,09-02-2011,10218.0,11040.0,7946.5,7735.0
-27.273889,28.49,09-02-2011,12333.0,9060.0,9264.5,8181.0
-28.69485,28.23487,09-02-2011,14198.0,8931.0,11670.0,9620.0
-28.883333,27.89,09-02-2011,14007.5,9248.0,12553.5,9979.0
-27.02314,28.59389,10-02-2011,11490.5,9969.5,10372.5,9135.0
-30.679722,26.7125,10-02-2011,11724.0,10468.0,7895.0,7622.0
-30.534167,24.961944,10-02-2011,15132.5,10835.0,13586.0,11169.0
-34.031944,22.053333,10-02-2011,9058.0,7859.0,8310.0,7822.0
-34.039722,22.133333,10-02-2011,13491.5,9266.0,13393.0,11250.5
-32.595833,19.009444,10-02-2011,15218.5,10334.0,14735.0,12208.5
-28.801278,31.955389,11-02-2011,16685.5,9427.0,12127.0,9348.0
-29.658056,25.973333,11-02-2011,14001.0,10765.0,12520.0,10583.0
-28.068333,31.55,11-02-2011,16337.5,9854.5,14979.0,11663.0
-28.760833,17.730278,13-02-2011,11190.0,11426.0,7687.5,7645.0
-29.7775,29.470833,14-02-2011,16079.5,9355.0,12341.5,9665.5
-29.987778,29.851667,14-02-2011,19052.5,9616.0,14601.0,11173.5
-29.744167,29.905833,14-02-2011,15146.5,9829.5,12551.0,9830.5
-26.861111,28.884722,14-02-2011,17658.5,9550.0,13746.5,10574.0
-26.45,28.085833,14-02-2011,15210.0,10720.0,17974.0,14201.0
-31.396,29.2651,14-02-2011,12488.0,11835.5,8894.0,8335.0
-25.20639,27.558,15-02-2011,14137.5,10466.5,10315.5,8536.0
-24.69514,27.40906,15-02-2011,15543.0,10647.0,11919.5,9642.5
-26.006389,29.253889,15-02-2011,,,,
-27.802778,28.768333,15-02-2011,12128.5,9803.5,9325.0,8486.0
-27.398611,26.614722,15-02-2011,15515.5,10247.0,12823.0,10403.5
-27.671111,27.236944,15-02-2011,14887.0,10943.0,13522.0,11403.0
-29.160278,26.573333,15-02-2011,,,,
-30.568333,29.422778,15-02-2011,17023.0,9417.0,13069.5,10005.5
-30.570833,29.150556,15-02-2011,,,,
-33.38056,19.30167,15-02-2011,15820.0,10665.5,16377.5,13975.0
-33.31388889,19.07472222,15-02-2011,13162.5,9546.5,12786.0,10889.0
-27.495556,26.074722,15-02-2011,17937.5,11044.5,18143.5,14152.5
-25.436111,31.982222,16-02-2011,,,,
-24.39619444,27.08983333,16-02-2011,,,,
-25.67386,31.57527,16-02-2011,17360.5,9328.0,12598.5,9475.0
-30.733889,29.828333,16-02-2011,16068.0,9712.5,14358.0,11011.0
-30.398056,30.601944,16-02-2011,17011.0,9213.5,12459.5,9742.5
-27.273889,28.49,16-02-2011,12333.0,9060.0,9264.5,8181.0
-27.3,28.586944,16-02-2011,14954.0,9636.0,14753.0,11537.5
-27.044444,27.005,16-02-2011,17418.5,9908.0,13987.0,10115.0
-30.86013889,29.07125,16-02-2011,14558.0,10724.5,11450.0,10000.5
-30.77586667,29.03221667,16-02-2011,,,,
-33.13083,18.86278,16-02-2011,15187.0,11456.5,14527.0,12799.0
-24.925278,29.324444,17-02-2011,13185.0,9112.0,13904.5,11277.0
-27.00222,28.76528,17-02-2011,13724.0,9691.0,13005.5,10754.5
-27.02314,28.59389,17-02-2011,11490.5,9969.5,10372.5,9135.0
-22.43772222,31.07805556,18-02-2011,13383.5,9030.0,12118.0,10110.5
-29.803611,30.516111,18-02-2011,15906.0,9643.0,14471.0,11037.0
-25.99136,27.84208,21-02-2011,18631.5,11771.5,16495.0,12815.0
-26.861111,28.884722,21-02-2011,17658.5,9550.0,13746.5,10574.0
-26.73806,27.59194,21-02-2011,9089.5,9167.0,7963.0,7740.0
-26.45,28.085833,21-02-2011,15210.0,10720.0,17974.0,14201.0
-27.01011111,26.69808333,22-02-2011,12433.5,10433.5,9579.5,8531.5
-27.169444,29.233889,22-02-2011,6219.0,4774.0,5600.5,4803.0
-26.98472222,26.63227778,22-02-2011,13683.0,10207.0,14011.5,11850.5
-27.398611,26.614722,22-02-2011,15515.5,10247.0,12823.0,10403.5
-29.160278,26.573333,22-02-2011,,,,
-33.818056,19.694722,22-02-2011,13785.0,9684.0,14045.5,11787.0
-25.81048333,27.90955222,23-02-2011,16870.5,9753.0,13408.0,10257.0
-29.641944,30.6875,23-02-2011,14678.0,9601.0,12867.0,10208.0
-34.065833,20.404167,23-02-2011,13912.0,8344.0,10705.0,8910.0
-33.980556,21.653333,23-02-2011,11814.0,10721.0,10788.0,9878.0
-22.769722,30.886944,23-02-2011,15026.0,9241.0,13124.0,10324.0
-27.00222,28.76528,23-02-2011,13724.0,9691.0,13005.5,10754.5
-27.02314,28.59389,23-02-2011,11490.5,9969.5,10372.5,9135.0
-27.38972222,26.46388889,23-02-2011,11481.0,11597.0,8583.0,8196.5
-27.398611,26.614722,23-02-2011,15515.5,10247.0,12823.0,10403.5
-27.671111,27.236944,23-02-2011,14887.0,10943.0,13522.0,11403.0
-27.356667,27.286389,23-02-2011,16828.5,9502.5,12665.5,9643.0
-33.897778,20.012778,23-02-2011,14549.0,9048.0,10812.0,9109.0
-23.763056,27.908611,24-02-2011,,,,
-23.23572222,27.717,24-02-2011,12384.0,10024.0,10676.5,9671.0
-28.44555556,32.325,24-02-2011,8627.0,10515.0,7626.0,7476.0
-30.679722,26.7125,24-02-2011,11093.0,9954.0,7819.0,7634.0
-30.160091,27.40124,24-02-2011,14141.5,10077.0,12302.0,10587.0
-30.336111,27.359444,24-02-2011,12158.0,9792.0,7909.0,7766.0
-28.460833,21.248889,24-02-2011,13248.0,11215.5,10636.5,9105.5
-22.91028,29.61111,25-02-2011,,,,
-28.760833,17.730278,27-02-2011,11190.0,11426.0,7687.5,7645.0
-24.183889,30.823889,01-03-2011,12975.0,9423.0,12192.0,10273.5
-27.398611,26.614722,01-03-2011,15515.5,10247.0,12823.0,10403.5
-27.671111,27.236944,01-03-2011,14887.0,10943.0,13522.0,11403.0
-29.160278,26.573333,01-03-2011,,,,
-27.495556,26.074722,01-03-2011,17937.5,11044.5,18143.5,14152.5
-23.658056,31.05,02-03-2011,13467.0,10056.5,14670.5,12154.5
-26.648056,27.089444,02-03-2011,8205.5,4870.0,6161.0,4771.0
-27.802778,28.768333,02-03-2011,12113.5,9611.0,11318.5,9288.0
-24.679167,30.8025,03-03-2011,12245.0,9505.5,14908.5,13718.0
-27.273889,28.49,03-03-2011,12333.0,9060.0,9264.5,8181.0
-27.3,28.586944,03-03-2011,14954.0,9636.0,14753.0,11537.5
-30.679722,26.7125,03-03-2011,11093.0,9954.0,7819.0,7634.0
-27.02314,28.59389,04-03-2011,11490.5,9969.5,10372.5,9135.0
-25.99136,27.84208,07-03-2011,,,,
-31.554722,29.245556,07-03-2011,19619.0,9449.0,13890.0,10042.0
-27.01011111,26.69808333,08-03-2011,12433.5,10433.5,9579.5,8531.5
-27.802778,28.768333,08-03-2011,12113.5,9611.0,11318.5,9288.0
-26.98472222,26.63227778,08-03-2011,13683.0,10207.0,14011.5,11850.5
-27.398611,26.614722,08-03-2011,15515.5,10247.0,12823.0,10403.5
-27.671111,27.236944,08-03-2011,15184.0,10818.0,13762.0,11133.0
-29.160278,26.573333,08-03-2011,,,,
-31.396,29.2651,08-03-2011,12488.0,11835.5,8894.0,8335.0
-25.45963889,28.26430556,08-03-2011,13959.0,9926.0,15156.5,12552.5
-25.81048333,27.90955222,09-03-2011,16142.0,10433.5,14017.0,11026.5
-22.225556,29.990556,09-03-2011,29764.0,65535.0,46934.0,26873.5
-26.03611,30.99778,09-03-2011,14226.0,9724.0,11657.5,9907.0
-28.404444,30.013056,09-03-2011,,,,
-29.380556,30.2775,09-03-2011,15627.0,9168.0,13115.5,10091.5
