Latitude,Longitude,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,sw_layer1,sw_layer2,sw_layer3,sw_layer4,sw_total,sw_surface_ratio
-28.760833,17.730278,128.912,555,10,0.033018332,0.023640512,0.107838646,0.08958435,0.25408185,0.12995104
-26.861111,28.884722,74.72,162.9,163,0.33280954,0.35111102,0.34196636,0.2781067,1.3039936,0.2552231
-26.45,28.085833,89.254,573,80,0.2800294,0.27229175,0.25296947,0.1862793,0.9915699,0.28240985
-27.671111,27.236944,82,203.6,101,0.2847062,0.30692157,0.31649944,0.274292,1.1824192,0.2407826
-27.356667,27.286389,56.1,145.1,151,0.28325662,0.28200397,0.28602,0.25950623,1.1107868,0.25500518
-27.01011111,26.69808333,82.2,289.8,192,0.30265954,0.2780443,0.17454846,0.15267181,0.9079241,0.33335298
-25.127778,27.628889,125,438,163,0.30256036,0.28330097,0.18530591,0.15460205,0.92576927,0.32682014
-25.20639,27.558,116.62,568,69,0.298677,0.28596362,0.18757184,0.15401459,0.92622703,0.32246593
-24.69514,27.40906,181.831,583,158,0.2684646,0.25978717,0.21082623,0.16068268,0.89976066,0.298373
-26.98472222,26.63227778,196,452,158,0.30265954,0.2780443,0.17454846,0.15267181,0.9079241,0.33335298
-28.141944,26.417778,94.718,227.9,132,0.2859359,0.23003252,0.19372876,0.15320587,0.86290306,0.33136466
-27.398611,26.614722,86.8,226.3,114,0.2718673,0.22296007,0.16539319,0.15180206,0.8120226,0.3348022
-33.501667,21.624167,201,769,74,0.15318444,0.1446596,0.14455731,0.14201355,0.5844149,0.26211545
-32.502778,19.535833,10.387,73,10,0.050363097,0.13598497,0.13764508,0.08117676,0.4051699,0.12430087
-25.45963889,28.26430556,108.94,396,82,0.3201156,0.3100954,0.1911958,0.17259216,0.99399894,0.3220479
-27.495556,26.074722,67.8,218.6,91,0.2784362,0.23053606,0.16952832,0.1525116,0.8310122,0.3350563
-26.648056,27.089444,211,532,62,0.26735747,0.26901573,0.23020497,0.1602478,0.926826,0.28846535
-26.970278,27.211111,71.5,248.4,117,0.2561804,0.24934714,0.1930727,0.15834808,0.8569484,0.29894462
-27.38972222,26.46388889,82.14,255.5,74,0.19457304,0.21458761,0.16778126,0.15194702,0.728889,0.26694432
-27.044444,27.005,83,220.9,85,0.23792326,0.24040549,0.18223897,0.15424347,0.8148112,0.29199764
-30.830556,26.921389,62.099,145,10,0.35300756,0.35849473,0.3504656,0.19858551,1.2605534,0.28004152
