Latitude,Longitude,Sample Date,aet,def,pdsi,pet,ppt,q,soil,srad,swe,tmax,tmin,vap,vpd,ws
-28.760833,17.730278,02-01-2011,31.1,143.1,3.6499999,174.2,32.7,1.6,0.0,270.2007,0.0,36.1,22.689999,1.4710001,2.9199998,2.02
-26.861111,28.884722,03-01-2011,53.8,70.3,0.65999997,124.1,51.1,2.6,12.8,227.50043,0.0,27.16,13.219999,1.6200001,0.95,1.8499999
-26.45,28.085833,03-01-2011,60.8,66.700005,-1.16,127.5,62.7,3.1,6.8,230.89938,0.0,27.519999,14.09,1.6320001,1.02,1.8199999
-27.671111,27.236944,03-01-2011,83.200005,46.5,2.84,129.7,84.2,4.2,7.2000003,220.2994,0.0,28.869999,14.639999,1.6140001,1.22,1.89
-27.356667,27.286389,03-01-2011,77.3,51.9,2.6499999,129.2,78.0,3.9000000000000004,7.8,222.9,0.0,28.67,14.69,1.636,1.18,1.8399999
-27.01011111,26.69808333,04-01-2011,98.6,0.0,3.0,98.6,106.0,5.300000000000001,5.9,166.39838,0.0,24.18,9.809999,1.2090001,0.90999997,2.34
-25.127778,27.628889,04-01-2011,105.5,0.0,2.0,105.5,135.1,6.800000000000001,24.0,178.90335,0.0,27.17,12.62,1.4870001,1.05,2.0
-25.20639,27.558,04-01-2011,103.700005,0.0,1.9599999,103.700005,143.4,7.2,33.600002,177.49634,0.0,27.0,12.5199995,1.4770001,1.04,1.92
-24.69514,27.40906,04-01-2011,111.8,0.0,2.01,111.8,141.1,7.1000000000000005,23.6,183.29826,0.0,27.74,13.49,1.5300001,1.12,2.25
-26.98472222,26.63227778,04-01-2011,98.200005,0.0,2.98,98.200005,109.30000000000001,5.5,10.7,166.09799,0.0,24.35,9.98,1.2110001,0.93,2.22
-28.141944,26.417778,04-01-2011,87.700005,6.1,3.82,93.8,90.9,4.5,4.8,159.19734,0.0,23.88,8.78,1.149,0.90999997,2.12
-27.398611,26.614722,04-01-2011,92.700005,8.2,3.22,100.9,97.2,4.9,2.9,164.89651,0.0,24.8,9.87,1.2010001,0.97999996,2.36
-33.501667,21.624167,04-01-2011,15.5,84.700005,-3.02,100.200005,16.3,0.8,0.1,180.9032,0.0,24.55,9.33,1.161,0.97999996,2.59
-32.502778,19.535833,04-01-2011,15.400001,104.5,-2.78,119.9,16.2,0.8,0.6,187.59833,0.0,27.06,10.92,1.098,1.35,2.77
-25.45963889,28.26430556,04-01-2011,103.6,0.0,2.06,103.6,141.9,7.1000000000000005,32.5,176.60312,0.0,26.4,12.04,1.4030001,1.03,2.06
-27.495556,26.074722,04-01-2011,94.5,5.2000003,3.26,99.700005,99.5,5.0,0.4,164.0033,0.0,24.73,9.17,1.189,0.96,2.35
-26.648056,27.089444,05-01-2011,70.5,13.0,4.21,83.5,63.300000000000004,3.2,12.2,167.10187,0.0,21.92,5.92,0.90200007,0.88,2.06
-26.970278,27.211111,05-01-2011,72.5,9.6,4.8199997,82.1,66.7,3.3000000000000003,14.900001,165.10202,0.0,21.859999,6.14,0.89100003,0.9,1.9799999
-27.38972222,26.46388889,05-01-2011,83.200005,0.0,4.7999997,83.200005,97.4,4.9,9.7,162.00345,0.0,22.81,6.98,0.901,0.98999995,1.91
-27.044444,27.005,05-01-2011,75.6,6.8,4.81,82.4,74.60000000000001,3.7,13.0,163.79778,0.0,21.949999,6.25,0.90300006,0.9,2.02
-30.830556,26.921389,06-01-2011,53.100002,3.9,4.41,57.0,54.1,2.7,8.0,122.19621,0.0,14.589999,-0.94,0.609,0.51,2.76
-27.00222,28.76528,06-01-2011,37.100002,32.9,4.72,70.0,26.400000000000002,1.3,15.6,155.10278,0.0,17.38,-2.55,0.609,0.64,2.6799998
-27.02314,28.59389,06-01-2011,32.600002,39.8,4.62,72.4,27.0,1.3,13.5,155.3004,0.0,17.869999,-2.26,0.60200006,0.68,2.6699998
-30.679722,26.7125,06-01-2011,44.4,15.400001,4.45,59.8,44.900000000000006,2.2,5.1,123.50046,0.0,15.74,-0.61,0.624,0.57,2.73
-30.160091,27.40124,06-01-2011,54.0,3.4,5.8399997,57.4,53.800000000000004,2.7,15.900001,127.097015,0.0,14.62,-0.44,0.58400005,0.55,2.4299998
-32.595833,19.009444,06-01-2011,52.7,0.0,-2.05,52.7,73.2,3.7,19.1,113.99921,0.0,19.279999,6.42,0.94600004,0.65999997,1.93
-25.99136,27.84208,10-01-2011,46.7,126.5,2.24,173.2,48.0,2.4000000000000004,6.3,286.09674,0.0,28.539999,11.05,1.1600001,1.4599999,3.0
-26.73806,27.59194,10-01-2011,38.5,140.90001,2.1299999,179.40001,39.5,2.0,5.3,291.70105,0.0,28.34,10.179999,1.079,1.48,3.3799999
-26.45,28.085833,10-01-2011,43.9,129.0,1.41,172.90001,45.300000000000004,2.3000000000000003,5.6,286.903,0.0,27.91,10.01,1.1170001,1.39,3.23
-30.86013889,29.07125,10-01-2011,30.1,107.9,3.75,138.0,28.8,1.4000000000000001,9.900001,240.80376,0.0,25.609999,10.95,1.2720001,1.03,2.8999999
-27.356667,27.286389,10-01-2011,30.5,155.3,2.28,185.8,31.6,1.6,3.7,295.1,0.0,29.06,10.19,1.065,1.5799999,3.52
