Latitude,Longitude,Sample Date,aet,def,pdsi,pet,ppt,q,soil,srad,swe,tmax,tmin,vap,vpd,ws,log1p_ppt,log1p_q,log1p_pet,log1p_aet,dtr,water_stress_ratio,aet_pet_ratio,ppt_x_q,tmax_x_vpd,soil_x_ppt,runoff_ratio,srad_x_tmax
-28.760833,17.730278,02-01-2011,31.1,143.1,3.6499999,174.2,32.7,1.6,0.0,270.2007,0.0,36.1,22.689999,1.4710001,2.9199998,2.02,3.517497837358316,0.9555114450274363,5.1659284,3.468856,13.41,0.8214696,0.17853042,52.32000000000001,105.41199,0.0,0.04892966211224275,9754.245
-26.861111,28.884722,03-01-2011,53.8,70.3,0.65999997,124.1,51.1,2.6,12.8,227.50043,0.0,27.16,13.219999,1.6200001,0.95,1.8499999,3.9531649487593215,1.2809338454620642,4.8291135,4.0036902,13.940001,0.56647867,0.43352136,132.86,25.802,654.0800097465516,0.050880625227385026,6178.9116
-26.45,28.085833,03-01-2011,60.8,66.700005,-1.16,127.5,62.7,3.1,6.8,230.89938,0.0,27.519999,14.09,1.6320001,1.02,1.8199999,4.154184562578117,1.410986973710262,4.855929,4.1239033,13.429998,0.5231373,0.47686273,194.37,28.070398,426.36001195907596,0.04944178549534633,6354.3506
-27.671111,27.236944,03-01-2011,83.200005,46.5,2.84,129.7,84.2,4.2,7.2000003,220.2994,0.0,28.869999,14.639999,1.6140001,1.22,1.89,4.44500143383527,1.6486586255873816,4.872905,4.433195,14.23,0.35851967,0.6414804,353.64000000000004,35.2214,606.2400240898132,0.04988123456198059,6360.0435
-27.356667,27.286389,03-01-2011,77.3,51.9,2.6499999,129.2,78.0,3.9000000000000004,7.8,222.9,0.0,28.67,14.69,1.636,1.18,1.8399999,4.3694478524670215,1.589235205116581,4.8690715,4.3605475,13.9800005,0.40170282,0.59829724,304.20000000000005,33.830597,608.4000148773193,0.049999999358974374,6390.543
-27.01011111,26.69808333,04-01-2011,98.6,0.0,3.0,98.6,106.0,5.300000000000001,5.9,166.39838,0.0,24.18,9.809999,1.2090001,0.90999997,2.34,4.672828834461906,1.8405496333974871,4.601162,4.601162,14.370001,0.0,1.0,561.8000000000001,22.0038,625.4000101089478,0.0499999995283019,4023.5127
-25.127778,27.628889,04-01-2011,105.5,0.0,2.0,105.5,135.1,6.800000000000001,24.0,178.90335,0.0,27.17,12.62,1.4870001,1.05,2.0,4.91338990965742,2.0541237336955462,4.668145,4.668145,14.55,0.0,1.0,918.6800000000001,28.5285,3242.3999999999996,0.05033308622995496,4860.804
-25.20639,27.558,04-01-2011,103.700005,0.0,1.9599999,103.700005,143.4,7.2,33.600002,177.49634,0.0,27.0,12.5199995,1.4770001,1.04,1.92,4.972587226458726,2.1041341542702074,4.651099,4.651099,14.4800005,0.0,1.0,1032.48,28.079998,4818.240328216553,0.05020920467078658,4792.4014
-24.69514,27.40906,04-01-2011,111.8,0.0,2.01,111.8,141.1,7.1000000000000005,23.6,183.29826,0.0,27.74,13.49,1.5300001,1.12,2.25,4.956531035103055,2.0918640616783932,4.7256165,4.7256165,14.25,0.0,1.0,1001.8100000000001,31.0688,3329.9600538253785,0.05031892239320396,5084.694
-26.98472222,26.63227778,04-01-2011,98.200005,0.0,2.98,98.200005,109.30000000000001,5.5,10.7,166.09799,0.0,24.35,9.98,1.2110001,0.93,2.22,4.703203926259457,1.8718021769015913,4.597138,4.597138,14.370001,0.0,1.0,601.1500000000001,22.6455,1169.5099791526795,0.05032021911875371,4044.486
-28.141944,26.417778,04-01-2011,87.700005,6.1,3.82,93.8,90.9,4.5,4.8,159.19734,0.0,23.88,8.78,1.149,0.90999997,2.12,4.520701029361642,1.7047480922384253,4.5517693,4.48526,15.099999,0.06503198,0.93496805,409.05,21.730799,436.3200173377991,0.049504949950440594,3801.6323
-27.398611,26.614722,04-01-2011,92.700005,8.2,3.22,100.9,97.2,4.9,2.9,164.89651,0.0,24.8,9.87,1.2010001,0.97999996,2.36,4.58700621536042,1.7749523509116738,4.623992,4.540098,14.929999,0.08126858,0.91873145,476.28000000000003,24.303999,281.8800092697144,0.0504115221151078,4089.4333
-33.501667,21.624167,04-01-2011,15.5,84.700005,-3.02,100.200005,16.3,0.8,0.1,180.9032,0.0,24.55,9.33,1.161,0.97999996,2.59,2.8507065015037334,0.5877866649021191,4.617099,2.8033605,15.219999,0.8453094,0.15469061,13.040000000000001,24.058998,1.6300000242888928,0.04907975159019928,4441.1733
-32.502778,19.535833,04-01-2011,15.400001,104.5,-2.78,119.9,16.2,0.8,0.6,187.59833,0.0,27.06,10.92,1.098,1.35,2.77,2.8449093838194073,0.5877866649021191,4.794964,2.7972813,16.14,0.8715596,0.12844037,12.96,36.531,9.720000386238098,0.0493827130010671,5076.4106
-25.45963889,28.26430556,04-01-2011,103.6,0.0,2.06,103.6,141.9,7.1000000000000005,32.5,176.60312,0.0,26.4,12.04,1.4030001,1.03,2.06,4.9621450849358215,2.0918640616783932,4.6501436,4.6501436,14.36,0.0,1.0,1007.4900000000001,27.192,4611.75,0.05003523572913858,4662.3223
-27.495556,26.074722,04-01-2011,94.5,5.2000003,3.26,99.700005,99.5,5.0,0.4,164.0033,0.0,24.73,9.17,1.189,0.96,2.35,4.61015772749913,1.791759469228055,4.612146,4.5591264,15.559999,0.05215647,0.9478435,497.5,23.740799,39.800000593066216,0.05025125577636929,4055.8015
-26.648056,27.089444,05-01-2011,70.5,13.0,4.21,83.5,63.300000000000004,3.2,12.2,167.10187,0.0,21.92,5.92,0.90200007,0.88,2.06,4.163559631243574,1.4350845252893227,4.4367514,4.2696977,16.0,0.15568863,0.84431136,202.56000000000003,19.2896,772.2599879264832,0.05055292179221293,3662.873
-26.970278,27.211111,05-01-2011,72.5,9.6,4.8199997,82.1,66.7,3.3000000000000003,14.900001,165.10202,0.0,21.859999,6.14,0.89100003,0.9,1.9799999,4.215086179918229,1.4586150226995167,4.420045,4.2972856,15.719999,0.11693058,0.88306946,220.11,19.673998,993.8300381660462,0.04947526162705755,3609.13
-27.38972222,26.46388889,05-01-2011,83.200005,0.0,4.7999997,83.200005,97.4,4.9,9.7,162.00345,0.0,22.81,6.98,0.901,0.98999995,1.91,4.589040804058207,1.7749523509116738,4.433195,4.433195,15.83,0.0,1.0,477.26000000000005,22.581898,944.7799814224244,0.05030800769704304,3695.2986
-27.044444,27.005,05-01-2011,75.6,6.8,4.81,82.4,74.60000000000001,3.7,13.0,163.79778,0.0,21.949999,6.25,0.90300006,0.9,2.02,4.3254562831854875,1.547562508716013,4.4236484,4.3385973,15.699999,0.08252427,0.9174757,276.02000000000004,19.755,969.8000000000001,0.04959785456303144,3595.361
-30.830556,26.921389,06-01-2011,53.100002,3.9,4.41,57.0,54.1,2.7,8.0,122.19621,0.0,14.589999,-0.94,0.609,0.51,2.76,4.009149716158869,1.308332819650179,4.060443,3.9908342,15.529999,0.06842105,0.931579,146.07000000000002,7.4408994,432.8,0.04990757763571946,1782.8427
-27.00222,28.76528,06-01-2011,37.100002,32.9,4.72,70.0,26.400000000000002,1.3,15.6,155.10278,0.0,17.38,-2.55,0.609,0.64,2.6799998,3.3105430133940246,0.832909122935104,4.26268,3.6402144,19.929998,0.47000003,0.53000003,34.32000000000001,11.123199,411.8400100708008,0.04924242237718097,2695.6863
-27.02314,28.59389,06-01-2011,32.600002,39.8,4.62,72.4,27.0,1.3,13.5,155.3004,0.0,17.869999,-2.26,0.60200006,0.68,2.6699998,3.332204510175204,0.832909122935104,4.295924,3.5145261,20.13,0.54972374,0.45027626,35.1,12.151599,364.5,0.048148146364883466,2775.218
-30.679722,26.7125,06-01-2011,44.4,15.400001,4.45,59.8,44.900000000000006,2.2,5.1,123.50046,0.0,15.74,-0.61,0.624,0.57,2.73,3.8264651170664994,1.1631508098056809,4.1075897,3.8155122,16.35,0.2575251,0.742475,98.78000000000002,8.9718,228.98999571800235,0.048997771737243394,1943.8972
-30.160091,27.40124,06-01-2011,54.0,3.4,5.8399997,57.4,53.800000000000004,2.7,15.900001,127.097015,0.0,14.62,-0.44,0.58400005,0.55,2.4299998,4.00369019395397,1.308332819650179,4.067316,4.0073333,15.059999,0.05923345,0.9407665,145.26000000000002,8.041,855.420030784607,0.05018587267312505,1858.1583
-32.595833,19.009444,06-01-2011,52.7,0.0,-2.05,52.7,73.2,3.7,19.1,113.99921,0.0,19.279999,6.42,0.94600004,0.65999997,1.93,4.3067641501733345,1.547562508716013,3.983413,3.983413,12.859999,0.0,1.0,270.84000000000003,12.724798,1398.120027923584,0.05054644739690646,2197.9045
-25.99136,27.84208,10-01-2011,46.7,126.5,2.24,173.2,48.0,2.4000000000000004,6.3,286.09674,0.0,28.539999,11.05,1.1600001,1.4599999,3.0,3.8918202981106265,1.2237754316221159,5.160204,3.8649313,17.489998,0.7303695,0.2696305,115.20000000000002,41.668396,302.40000915527344,0.04999999895833337,8165.2007
-26.73806,27.59194,10-01-2011,38.5,140.90001,2.1299999,179.40001,39.5,2.0,5.3,291.70105,0.0,28.34,10.179999,1.079,1.48,3.3799999,3.7013019741124933,1.0986122886681098,5.1951766,3.6763008,18.16,0.7853958,0.21460423,79.0,41.9432,209.3500075340271,0.05063291011055924,8266.808
-26.45,28.085833,10-01-2011,43.9,129.0,1.41,172.90001,45.300000000000004,2.3000000000000003,5.6,286.903,0.0,27.91,10.01,1.1170001,1.39,3.23,3.8351419610921886,1.1939224684724346,5.1584806,3.8044379,17.9,0.74609596,0.25390399,104.19000000000003,38.7949,253.67999567985538,0.050772625810758816,8007.463
-30.86013889,29.07125,10-01-2011,30.1,107.9,3.75,138.0,28.8,1.4000000000000001,9.900001,240.80376,0.0,25.609999,10.95,1.2720001,1.03,2.8999999,3.3945083935113587,0.8754687373539,4.934474,3.437208,14.659999,0.7818841,0.21811594,40.32000000000001,26.378298,285.1200164794922,0.04861110942322537,6166.984
-27.356667,27.286389,10-01-2011,30.5,155.3,2.28,185.8,31.6,1.6,3.7,295.1,0.0,29.06,10.19,1.065,1.5799999,3.52,3.484312288372662,0.9555114450274363,5.2300386,3.4499876,18.869999,0.835845,0.164155,50.56,45.9148,116.92000150680542,0.05063290979009779,8575.606
-27.01011111,26.69808333,11-01-2011,42.3,149.40001,0.90999997,191.7,44.300000000000004,2.2,2.3,318.4026,0.0,30.09,12.559999,1.2870001,1.5799999,3.1899998,3.8133070324889884,1.1631508098056809,5.2611346,3.7681527,17.53,0.7793428,0.22065727,97.46000000000002,47.5422,101.8899978876114,0.04966139842750794,9580.734
-25.73411,27.21422,11-01-2011,54.2,128.3,0.74,182.5,56.2,2.8000000000000003,5.6,307.89746,0.0,29.99,12.88,1.4410001,1.43,3.07,4.046553898385752,1.3350010667323402,5.2122145,4.010963,17.11,0.7030137,0.2969863,157.36,42.885696,314.71999464035036,0.04982206317042593,9233.845
-26.98472222,26.63227778,11-01-2011,42.4,149.6,1.16,192.0,44.300000000000004,2.2,2.7,316.4976,0.0,30.16,12.74,1.291,1.5999999,3.21,3.8133070324889884,1.1631508098056809,5.26269,3.7704594,17.42,0.7791667,0.22083335,97.46000000000002,48.255997,119.61000211238863,0.04966139842750794,9545.567
-27.398611,26.614722,11-01-2011,43.2,154.2,1.0699999,197.40001,45.2,2.3000000000000003,2.7,321.69876,0.0,30.63,12.32,1.245,1.68,3.29,3.832979798087693,1.1939224684724346,5.290285,3.788725,18.31,0.781155,0.21884498,103.96000000000002,51.458397,122.04000215530397,0.05088495462643906,9853.633
-27.671111,27.236944,11-01-2011,40.5,151.6,1.29,192.1,42.2,2.1,2.9,321.00317,0.0,30.029999,11.679999,1.253,1.5699999,3.21,3.765840495250065,1.1314021114911006,5.2632084,3.7256935,18.349998,0.7891723,0.2108277,88.62,47.147095,122.38000402450562,0.049763031996136686,9639.725
-29.160278,26.573333,11-01-2011,28.4,170.7,1.2099999,199.1,29.5,1.5,2.7,323.89624,0.0,29.3,9.62,1.0350001,1.61,3.6899998,3.417726683613366,0.9162907318741551,5.298817,3.3809946,19.68,0.8573581,0.14264189,44.25,47.173,79.65000140666962,0.05084745590347607,9490.159
-34.250556,20.9925,11-01-2011,52.8,87.4,2.73,140.2,51.900000000000006,2.6,12.3,276.6034,0.0,24.189999,12.67,1.4920001,0.76,4.0099998,3.968403338864254,1.2809338454620642,4.950177,3.9852734,11.519999,0.62339514,0.37660486,134.94000000000003,18.3844,638.3700098991395,0.05009633814843279,6691.0356
-25.45963889,28.26430556,11-01-2011,52.2,130.6,0.77,182.8,54.2,2.7,5.7000003,301.2023,0.0,31.4,14.759999,1.6400001,1.51,2.9199998,4.01096295328305,1.308332819650179,5.213848,3.9740584,16.64,0.714442,0.285558,146.34,47.413998,308.9400155067444,0.04981549723587644,9457.752
-25.81048333,27.90955222,12-01-2011,96.1,68.0,1.3299999,164.1,100.5,5.0,5.1,262.8021,0.0,28.97,16.56,1.626,1.3299999,2.45,4.620058798481842,1.791759469228055,5.106551,4.5757413,12.41,0.41438144,0.5856185,502.5,38.530098,512.5499904155731,0.04975124328605728,7613.3765
-27.273889,28.49,12-01-2011,100.1,64.200005,1.17,164.3,104.7,5.2,4.4,278.0025,0.0,27.599998,14.009999,1.416,1.24,2.46,4.660604892876192,1.824549292051046,5.107762,4.6161103,13.589999,0.39074865,0.6092513,544.44,34.224,460.6800099849701,0.049665711082466944,7672.8687
-27.4275,28.525833,12-01-2011,102.8,60.8,1.37,163.6,107.7,5.4,3.8,277.797,0.0,27.46,13.75,1.4080001,1.22,2.48,4.688591794127164,1.8562979903656263,5.1035185,4.642466,13.709999,0.37163812,0.6283619,581.58,33.501198,409.2599948644638,0.050139275300470985,7628.305
-28.883333,27.89,12-01-2011,101.0,63.2,2.09,164.2,105.80000000000001,5.300000000000001,3.3,284.00204,0.0,26.349998,12.929999,1.292,1.18,2.53,4.6709579265260945,1.8405496333974871,5.1071568,4.624973,13.419999,0.3848965,0.61510354,560.7400000000001,31.092997,349.1399949550629,0.05009451748492895,7483.4536
-27.00222,28.76528,13-01-2011,91.200005,70.4,0.7,161.6,95.4,4.800000000000001,5.0,273.7973,0.0,27.63,14.11,1.442,1.22,2.3899999,4.5685062016165,1.7578579175523739,5.0912933,4.52396,13.5199995,0.43564355,0.56435645,457.9200000000001,33.7086,477.0,0.05031446488139975,7565.019
-27.02314,28.59389,13-01-2011,93.3,69.8,0.58,163.1,97.60000000000001,4.9,4.8,274.39804,0.0,27.8,14.2,1.4410001,1.25,2.4199998,4.59107126160859,1.7749523509116738,5.1004763,4.546481,13.599999,0.4279583,0.5720417,478.24000000000007,34.75,468.4800186157227,0.05020491751839224,7628.265
-30.534167,24.961944,13-01-2011,42.600002,162.40001,-1.48,205.0,44.900000000000006,2.2,0.0,317.99945,0.0,29.9,13.13,1.169,1.7099999,3.29,3.8264651170664994,1.1631508098056809,5.327876,3.7750573,16.77,0.79219514,0.20780489,98.78000000000002,51.128998,0.0,0.048997771737243394,9508.184
-28.460833,21.248889,13-01-2011,49.600002,195.1,4.5,244.7,52.300000000000004,2.6,0.0,339.6974,0.0,33.62,16.89,0.952,2.6299999,3.34,3.975936331171799,1.2809338454620642,5.5041113,3.9239516,16.73,0.79730284,0.20269719,135.98000000000002,88.42059,0.0,0.04971319216609575,11420.626
